display_id,zip_url,artist,title,genre,confidence_score,is_match,outlier_reasons,profile
7967646,https://srv.remmex.com/dwnld/release/7725260.zip?mp3,Connor Bladon,Keep on Running (Original Mix),house,35.7,no,low_confidence,orbit_core
7967647,https://srv.remmex.com/dwnld/release/7725261.zip?mp3,Conrado,Bajo La Lluvia (Club Edit),tech house,35.7,no,low_confidence,orbit_core
7967647,https://srv.remmex.com/dwnld/release/7725261.zip?mp3,Conrado,Bajo La Lluvia (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7967649,https://srv.remmex.com/dwnld/release/7725263.zip?mp3,Constanza Pucheta,Where You At (Manu Barcelo Jazzy Mix),deep house,35.7,no,low_confidence,orbit_core
7967649,https://srv.remmex.com/dwnld/release/7725263.zip?mp3,Constanza Pucheta,Where You At (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,Cottonmouthkillah,Remarkably Yes (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,Cristu XXIV,Grandiflora Manipura (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,Crâne De Poule,Incognito Mode (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967032,https://srv.remmex.com/dwnld/release/7724646.zip?mp3,"D.O.N. P, Noah Engberg",Lige landet (Original Mix),house,35.7,no,low_confidence,orbit_core
7967716,https://srv.remmex.com/dwnld/release/7725330.zip?mp3,DJ Gaston,Right And Back (Extended Mix),tech house,35.7,no,low_confidence,orbit_core
7967733,https://srv.remmex.com/dwnld/release/7725347.zip?mp3,DJ Rebel,Lie 2 U (Extended Mix),house,35.7,no,low_confidence,orbit_core
7967735,https://srv.remmex.com/dwnld/release/7725349.zip?mp3,DJ Sauce,Blush in reverb (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967735,https://srv.remmex.com/dwnld/release/7725349.zip?mp3,DJ Sauce,Early Departure (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967735,https://srv.remmex.com/dwnld/release/7725349.zip?mp3,DJ Sauce,Fake Tomorrow (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967657,https://srv.remmex.com/dwnld/release/7725271.zip?mp3,Daddies Home!,THE SALAD ANTHEM (Tossed Salad Extended Mix),house,35.7,no,low_confidence,orbit_core
7967658,https://srv.remmex.com/dwnld/release/7725272.zip?mp3,Dalang,Clockwork Orange (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967783,https://srv.remmex.com/dwnld/release/7725397.zip,Damir Pushkar,Let Me Tell Ya Something (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967663,https://srv.remmex.com/dwnld/release/7725277.zip?mp3,Danler,BLISS (Original Mix),house,35.7,no,low_confidence,orbit_core
7967664,https://srv.remmex.com/dwnld/release/7725278.zip?mp3,DannysBeat,Gaia She's on her way (Original Mix),house,35.7,no,low_confidence,orbit_core
7965079,https://srv.remmex.com/dwnld/release/7722693.zip?mp3,David Morales,REFUGE PT. 1,house,35.7,no,low_confidence,orbit_core
7965079,https://srv.remmex.com/dwnld/release/7722693.zip?mp3,David Morales,REFUGE PT. 2,house,35.7,no,low_confidence,orbit_core
7965079,https://srv.remmex.com/dwnld/release/7722693.zip?mp3,David Morales,REFUGE PT. 3,house,35.7,no,low_confidence,orbit_core
7967675,https://srv.remmex.com/dwnld/release/7725289.zip?mp3,David Venuta,Never Be (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967675,https://srv.remmex.com/dwnld/release/7725289.zip?mp3,David Venuta,Seattle (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7967679,https://srv.remmex.com/dwnld/release/7725293.zip?mp3,David Walters,Kryé Mwen (Aroop Roy Remix),deep house,35.7,no,low_confidence,orbit_core
7967679,https://srv.remmex.com/dwnld/release/7725293.zip?mp3,David Walters,Kryé Mwen (David Walters Disco Club Remix),deep house,35.7,no,low_confidence,orbit_core
7967679,https://srv.remmex.com/dwnld/release/7725293.zip?mp3,David Walters,Kryé Mwen (David Walters Remix),deep house,35.7,no,low_confidence,orbit_core
7967679,https://srv.remmex.com/dwnld/release/7725293.zip?mp3,David Walters,Kryé Mwen (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967679,https://srv.remmex.com/dwnld/release/7725293.zip?mp3,David Walters,Kryé Mwen (Patchworks Remix),deep house,35.7,no,low_confidence,orbit_core
7967684,https://srv.remmex.com/dwnld/release/7725298.zip?mp3,Davide Squillace,You Don't Know Me (Extended Mix),tech house,35.7,no,low_confidence,orbit_core
7967686,https://srv.remmex.com/dwnld/release/7725300.zip?mp3,DeADip,2 Hours 20 Minutes (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967686,https://srv.remmex.com/dwnld/release/7725300.zip?mp3,DeADip,Effective (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967686,https://srv.remmex.com/dwnld/release/7725300.zip?mp3,DeADip,Opportunity (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967697,https://srv.remmex.com/dwnld/release/7725311.zip?mp3,DeeJay FJ,"Creo Que Me Equivoqué De Carrera, Quiero Serr (Original Mix)",house,35.7,no,low_confidence,orbit_core
7967694,https://srv.remmex.com/dwnld/release/7725308.zip?mp3,Deebesh,Call Me (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967694,https://srv.remmex.com/dwnld/release/7725308.zip?mp3,Deebesh,Groove Your Body (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7967694,https://srv.remmex.com/dwnld/release/7725308.zip?mp3,Deebesh,Space Jump (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967698,https://srv.remmex.com/dwnld/release/7725312.zip?mp3,Deep N Beeper,Sextek (AK-47 Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967698,https://srv.remmex.com/dwnld/release/7725312.zip?mp3,Deep N Beeper,"Sextek (Electric Excess, VERY Long & Deep XTENDED Mix)",minimal / deep tech,35.7,no,low_confidence,orbit_core
7967698,https://srv.remmex.com/dwnld/release/7725312.zip?mp3,Deep N Beeper,Sextek (Wonky Re-Rub),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967702,https://srv.remmex.com/dwnld/release/7725316.zip?mp3,Dennis Bune,Keep The Fire Burning (Club Mix),house,35.7,no,low_confidence,orbit_core
7967702,https://srv.remmex.com/dwnld/release/7725316.zip?mp3,Dennis Bune,Keep The Fire Burning (Fusion Edit),house,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,Denver Music,Subpin (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967706,https://srv.remmex.com/dwnld/release/7725320.zip?mp3,Devstar,Love Don't Need (Frederik Anthony Extended Remix),tech house,35.7,no,low_confidence,orbit_core
7966964,https://srv.remmex.com/dwnld/release/7724578.zip?mp3,Dexter Troy,Sweat! (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,Diego Garcia (MX),Mouri (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967710,https://srv.remmex.com/dwnld/release/7725324.zip?mp3,Diego Romero,Los Sicarios (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7967711,https://srv.remmex.com/dwnld/release/7725325.zip?mp3,Disco Ball'z,New Age Vibe (Original Mix),house,35.7,no,low_confidence,orbit_core
7967711,https://srv.remmex.com/dwnld/release/7725325.zip?mp3,Disco Ball'z,Phunky Moving (Original Mix),house,35.7,no,low_confidence,orbit_core
7967740,https://srv.remmex.com/dwnld/release/7725354.zip?mp3,"Djonii, Mafia (COL)",Desse Jeito (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7967743,https://srv.remmex.com/dwnld/release/7725357.zip?mp3,Dnio,Fade Away (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967749,https://srv.remmex.com/dwnld/release/7725363.zip?mp3,Dnio,Garden Tea (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967743,https://srv.remmex.com/dwnld/release/7725357.zip?mp3,Dnio,Human Nature (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967753,https://srv.remmex.com/dwnld/release/7725367.zip?mp3,Dnio,Hybrid Moments (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967753,https://srv.remmex.com/dwnld/release/7725367.zip?mp3,Dnio,Innerself (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967743,https://srv.remmex.com/dwnld/release/7725357.zip?mp3,Dnio,Midnight Runner (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967747,https://srv.remmex.com/dwnld/release/7725361.zip?mp3,Dnio,Neverplace (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967747,https://srv.remmex.com/dwnld/release/7725361.zip?mp3,Dnio,Ongoing (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967743,https://srv.remmex.com/dwnld/release/7725357.zip?mp3,Dnio,Peaceful Morning (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967749,https://srv.remmex.com/dwnld/release/7725363.zip?mp3,Dnio,Quiet Storm (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967749,https://srv.remmex.com/dwnld/release/7725363.zip?mp3,Dnio,Scandals (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967749,https://srv.remmex.com/dwnld/release/7725363.zip?mp3,Dnio,Shoes Off (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967753,https://srv.remmex.com/dwnld/release/7725367.zip?mp3,Dnio,The House Of Clouds (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967753,https://srv.remmex.com/dwnld/release/7725367.zip?mp3,Dnio,Unbleached (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967032,https://srv.remmex.com/dwnld/release/7724646.zip?mp3,"Dobbel, D.O.N. P, Noah Engberg",Timer gået (Original Mix),house,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,"Domavik, Ari (US)",Where It Leads (Edwar Remix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,"Domavik, Ari (US)",Where It Leads (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967760,https://srv.remmex.com/dwnld/release/7725374.zip?mp3,Dr House,Tech Solare (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,Dren_,Dialium (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967763,https://srv.remmex.com/dwnld/release/7725377.zip?mp3,Dub Ting,Bass In The Vein (Original Mix),house,35.7,no,low_confidence,orbit_core
7967763,https://srv.remmex.com/dwnld/release/7725377.zip?mp3,Dub Ting,Big Tree (Original Mix),house,35.7,no,low_confidence,orbit_core
7967763,https://srv.remmex.com/dwnld/release/7725377.zip?mp3,Dub Ting,Border People (Original Mix),house,35.7,no,low_confidence,orbit_core
7967763,https://srv.remmex.com/dwnld/release/7725377.zip?mp3,Dub Ting,River Still Run (Original Mix),house,35.7,no,low_confidence,orbit_core
7967763,https://srv.remmex.com/dwnld/release/7725377.zip?mp3,Dub Ting,Signal In The Fog (Original Mix),house,35.7,no,low_confidence,orbit_core
7967769,https://srv.remmex.com/dwnld/release/7725383.zip?mp3,Dukhnevich,Finding Myself (Instrumental),deep house,35.7,no,low_confidence,orbit_core
7967769,https://srv.remmex.com/dwnld/release/7725383.zip?mp3,Dukhnevich,Finding Myself (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,Duly,The Space Within (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967772,https://srv.remmex.com/dwnld/release/7725386.zip?mp3,"Dusky, Rromarin",Next Life feat. Rromarin (Extended Mix),deep house,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,Dëkyr,LK11 (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,EASTMYND,Detachment (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7965523,https://srv.remmex.com/dwnld/release/7723137.zip?mp3,Edelis,Ambers (Original Mix),house,35.7,no,low_confidence,orbit_core
7965525,https://srv.remmex.com/dwnld/release/7723139.zip?mp3,Eden Burns,Razor (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7965528,https://srv.remmex.com/dwnld/release/7723142.zip?mp3,Edgar Aguirre,El Caminante (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7965553,https://srv.remmex.com/dwnld/release/7723167.zip?mp3,Esrawe,"Feel it, don't kill it (Original Mix)",deep house,35.7,no,low_confidence,orbit_core
