label_candidate,track_count,example_source_url,notes
Truncate,1,https://youtube.com/watch?v=CarzdDLFUko,bracket suffix in track title only
ZZZ013,1,https://youtube.com/watch?v=h1NwN8N4YLc,bracket suffix in track title only
SBSPCS003,1,https://youtube.com/watch?v=z1VM_6fk9-0,bracket suffix in track title only
ARTS020,1,https://youtube.com/watch?v=xjCb4CB-hdw,bracket suffix in track title only
LNTHN003,1,https://youtube.com/watch?v=fedXAbyvwR0,bracket suffix in track title only
IP011,1,https://youtu.be/zmIr1UVfYPQ,bracket suffix in track title only
AHRPE004,1,https://youtube.com/watch?v=5dAi4UhDbQg,bracket suffix in track title only
Hospital Productions 2016,1,https://youtu.be/qbvvJw9KIfM,bracket suffix in track title only
MDG007,1,https://youtube.com/watch?v=gpc3YKkxtJ8,bracket suffix in track title only
VAL005,1,https://youtube.com/watch?v=eJmonRvYWT8,bracket suffix in track title only
Hemlock Recordings,1,https://youtu.be/45vd72jSB00,bracket suffix in track title only
BLACKAXON 002,1,https://youtube.com/watch?feature=youtu.be&v=hZfyayt3Kzs,bracket suffix in track title only
FIDES 001,1,https://youtube.com/watch?v=NXHCeSP7zFI,bracket suffix in track title only
Suburban Avenue 001,1,https://youtu.be/2N6XOs6OP_Y,bracket suffix in track title only
100% PURE,1,https://youtu.be/OErEXchmTIs,bracket suffix in track title only
RK2,1,https://youtu.be/mV3Hk-Ej7Ws,bracket suffix in track title only
EarToGround,1,https://youtu.be/5l4QmhGy53c,bracket suffix in track title only
WUPS4,1,https://youtube.com/watch?v=evJUDvOgkmo,bracket suffix in track title only
T2XS301,1,https://youtube.com/watch?v=dWDwSGJkUPg,bracket suffix in track title only
VERSIONS001,1,https://youtube.com/watch?v=Jb4qGHO6cjE,bracket suffix in track title only
Stroboscopic Artefacts SA016,1,https://youtube.com/watch?v=ZiSXvCWnmEM,bracket suffix in track title only
Vault Series ⎮ VAULT013,1,https://youtube.com/watch?v=7JCplXUMzG4,bracket suffix in track title only
MODULARZ23,1,https://youtube.com/watch?v=es77ofU6YWU,bracket suffix in track title only
LANTHAN.AUDIO,1,https://youtube.com/watch?v=h3Zl2r7FqGU,bracket suffix in track title only
PRSON002,1,https://youtube.com/watch?v=oIFCcNjCveo,bracket suffix in track title only
Indigo Aera,1,https://youtube.com/watch?v=Eph-QZZwQwI#,bracket suffix in track title only
WUNDERBLOCK RECORDS,1,https://youtu.be/Vw5qJ8T1AN8,bracket suffix in track title only
TOKEN62,1,https://youtube.com/watch?v=JEvMxunATLo,bracket suffix in track title only
DYNAMIC REFLECTION,1,https://youtube.com/watch?v=BTmOkldnHDI,bracket suffix in track title only
MODULARZ024,1,https://youtube.com/watch?v=yykYnonafxw&list=PLd87vN3VDLXUD4WC-iCX9QUSzDGLdxG-r&index=6,bracket suffix in track title only
FIGURE078,1,https://youtube.com/watch?v=qWAyz-g13lY,bracket suffix in track title only
MOSAIC,1,https://youtube.com/watch?v=m61EgYphFNE,bracket suffix in track title only
Orbis Records,1,https://youtube.com/watch?v=Kr2-TzA9P0I,bracket suffix in track title only
Token Belgium,1,https://youtube.com/watch?v=W5YicyDMrP0,bracket suffix in track title only
Main Mix,1,https://youtube.com/watch?v=b5zzS40-xbo,bracket suffix in track title only
Suburban Avenue 004,1,https://youtube.com/watch?v=UgiYxao2Bf4,bracket suffix in track title only
MONOCLINE REC.,1,https://youtu.be/kT-7xv-R4F8,bracket suffix in track title only
Birdie,1,https://youtube.com/watch?v=AVExpP8nW_w,bracket suffix in track title only
Tir Na Nog EP A1,1,https://youtube.com/watch?v=7iTvvvLVC6w,bracket suffix in track title only
ML029,1,https://youtube.com/watch?v=xUG8K6QND8w&feature=youtu.be,bracket suffix in track title only
Ternesc,1,https://youtube.com/watch?v=GpPY5XK4CFU,bracket suffix in track title only
SEMANTICA 10​.​III,1,https://youtube.com/watch?v=4D0cPUbmlZQ&feature=youtu.be,bracket suffix in track title only
Eerie 009,1,https://youtube.com/watch?v=iqWwAFUpyYs,bracket suffix in track title only
non007,1,https://youtube.com/watch?v=Nsoe7kIzZe8,bracket suffix in track title only
Stroboscopic Artefacts - SAM011,1,https://youtube.com/watch?v=i05NranXuec,bracket suffix in track title only
FAM003,1,https://youtube.com/watch?v=LANTNSfvem8,bracket suffix in track title only
NONPLUS032,1,https://youtube.com/watch?v=2tc_zGT8Af4,bracket suffix in track title only
Ilian Tape 019,1,https://youtu.be/NqvO8jk5QBM,bracket suffix in track title only
PLANET RHYTHM,1,https://youtube.com/watch?v=gH9enhs6KcM,bracket suffix in track title only
TESC 002,1,https://youtu.be/bnzm7_hwLO8,bracket suffix in track title only
Reclaim Your City 006,1,https://youtube.com/watch?v=2A3Ga_jo_6w,bracket suffix in track title only
FIGURESPCZ,1,https://youtube.com/watch?v=lSJhbNx19_A,bracket suffix in track title only
Mord030,1,https://youtube.com/watch?v=QVktIE0LqaQ,bracket suffix in track title only
LIMITED007,1,https://youtube.com/watch?v=EW7y9Su0j6g,bracket suffix in track title only
Vault Series 018,1,https://youtube.com/watch?v=6erhAWLr8WQ,bracket suffix in track title only
Mord 024,1,https://youtube.com/watch?v=luG9uRrigIs,bracket suffix in track title only
TRP004,1,https://youtube.com/watch?v=VjOkzFk-ZRg,bracket suffix in track title only
TOKEN51,1,https://youtube.com/watch?v=BgMRV4_P16g,bracket suffix in track title only
