track_id,track_artist,track_title,dj_mention,post_id,page,date,text,confidence,notes
43,Radial,Asiel,RØDHÅD,2962,Berghain Music,2016-08-22,RØDHÅD,high,extracted from post message only
43,Radial,Asiel,Rødhåd,2990,Berghain Music,2016-08-22,Rødhåd,high,extracted from post message only
43,Radial,Asiel,Rødhåd,3568,Berghain Music,2016-06-13,Rødhåd,high,extracted from post message only
43,Radial,Asiel,Pär,4009,Berghain Music,2016-04-17,Pär,high,extracted from post message only
43,Radial,Asiel,Volte-face,5182,Berghain Music,2015-12-06,Volte-face,high,extracted from post message only
43,Radial,Asiel,Kangding Ray,5542,Berghain Music,2015-10-19,Kangding Ray,high,extracted from post message only
43,Radial,Asiel,Francois X,7079,Berghain Music,2015-03-16,Francois X,high,extracted from post message only
43,Radial,Asiel,Luke Slater,7963,Berghain Music,2014-11-02,Luke Slater,high,extracted from post message only
43,Radial,Asiel,zenker brothers,9259,Berghain Music,2014-03-17,zenker brothers,high,extracted from post message only
43,Radial,Asiel,Ben Klock,9936,Berghain Music,2013-11-18,Ben Klock,high,extracted from post message only
43,Radial,Asiel,Boris,10115,Berghain Music,2013-10-21,Boris,high,extracted from post message only
43,Radial,Asiel,Ben klock,10212,Berghain Music,2013-09-30,Ben klock,high,extracted from post message only
44,Shifted,Leather (Original Mix),Subjected,47,Berghain Music,2017-08-06,Subjected,high,extracted from post message only
44,Shifted,Leather (Original Mix),Shifted !,1499,Berghain Music,2017-02-13,Shifted !,high,extracted from post message only
44,Shifted,Leather (Original Mix),Subjected,2659,Berghain Music,2016-09-25,Subjected,high,extracted from post message only
44,Shifted,Leather (Original Mix),DJ Nobu,4603,Berghain Music,2016-02-08,DJ Nobu,high,extracted from post message only
44,Shifted,Leather (Original Mix),Subjected,5028,Berghain Music,2015-12-21,Subjected,high,extracted from post message only
44,Shifted,Leather (Original Mix),Shifted,6507,Berghain Music,2015-06-03,Shifted,high,extracted from post message only
44,Shifted,Leather (Original Mix),oliver d,8359,Berghain Music,2014-08-26,oliver d,high,extracted from post message only
