track_id,track_artist,track_title,count,first_seen,last_seen,source_url,notes
194,Max_M,Architectural Lie,7,2016-01-17,2017-07-16,https://youtu.be/TA0voCK1K4Y,drOpped-iN historical import (2010-2017)
195,MarkyZ,Live @ Arsenal Fest 2017 | Explosive Stage by MarkyZ,1,2017-07-14,2017-07-14,https://soundcloud.com/dj-markyz/markyz-live-arsenal-fest-2017-kragujevac-serbia,drOpped-iN historical import (2010-2017)
196,Tellurians,The Navigator [1992],5,2016-07-31,2017-07-16,https://youtu.be/NE6LBI2EXJg,drOpped-iN historical import (2010-2017)
197,Janice,JANICE2 B1,5,2016-11-28,2017-07-16,https://youtu.be/xp4Ot1b9bqc,drOpped-iN historical import (2010-2017)
198,Jeff Mills,The Alarms ( 1998 ),2,2015-10-14,2017-07-16,https://youtube.com/watch?v=d7HAj1Z0_8c,drOpped-iN historical import (2010-2017)
201,Nihad Tule,Shatter (Sloboda SLBD8413001),31,2013-02-19,2017-07-11,https://youtu.be/ESgGA02i9mg,drOpped-iN historical import (2010-2017)
204,Mechanisms Industries,Antikythera Mechanism (Subjected remix),2,2016-11-29,2017-07-11,https://youtube.com/watch?v=rxvStn3FJ60,drOpped-iN historical import (2010-2017)
205,,Lebanon Hanover -- Gallowdance [official],6,2017-01-01,2017-07-11,https://youtube.com/watch?v=WPw7nlluRdc,drOpped-iN historical import (2010-2017)
206,Zanias,Follow the Body,3,2017-01-02,2017-07-11,https://youtube.com/watch?v=e7Tc5Nk_n4M,drOpped-iN historical import (2010-2017)
208,Umwelt,Somatogravic Illusion,2,2015-08-24,2017-07-11,https://youtube.com/watch?v=6uuBpphWYXU,drOpped-iN historical import (2010-2017)
213,Ancient Methods,I Am Blazing Sound [Persephonic Sirens 01],3,2017-02-20,2017-07-10,https://youtube.com/watch?v=i0U_mIhkTqE,drOpped-iN historical import (2010-2017)
214,Fixmer/ McCarthy,Chemicals [SG1777],1,2017-07-10,2017-07-10,https://youtube.com/watch?v=JBHcAd8Nhws,drOpped-iN historical import (2010-2017)
215,Italojohnson,07A1 (Floorplan Remix),1,2017-07-10,2017-07-10,https://youtube.com/watch?v=wUQUsFVAesY,drOpped-iN historical import (2010-2017)
216,Marcel Fengler,Sculptures,2,2014-12-20,2017-07-10,https://youtube.com/watch?v=NlB88a0mLnA,drOpped-iN historical import (2010-2017)
217,"System F, Marc Almond",Soul On Soul (Elektrochemie LK Mix).,4,2015-02-18,2017-07-10,https://youtu.be/t6BFWLFCXT8,drOpped-iN historical import (2010-2017)
219,Truncate,Control V1,2,2014-05-11,2017-07-10,https://youtube.com/watch?v=GEzrh42NYQQ,drOpped-iN historical import (2010-2017)
222,Elad Magdasi & Mathias Weber,Magnet (Blind Observatory Remix),2,2017-07-10,2017-07-10,https://youtube.com/watch?v=YCktfAH0OeI,drOpped-iN historical import (2010-2017)
223,Lil Louis,Blackout (Phase 1 - Original 1989 Mix),4,2016-02-15,2017-07-10,https://youtube.com/watch?v=EBLeoQsjwAo,drOpped-iN historical import (2010-2017)
225,Wata Igarashi,Lucifero [MDG006],1,2017-07-10,2017-07-10,https://youtube.com/watch?v=jS7SZbHUJ0M,drOpped-iN historical import (2010-2017)
