track_id,post_id,page,date,text,source_url
43,5542,Berghain Music,2015-10-19,Kangding Ray,https://facebook.com/142162245821280_10153734083781967
43,7079,Berghain Music,2015-03-16,Francois X,https://facebook.com/142162245821280_1033293053366883
43,7963,Berghain Music,2014-11-02,Luke Slater,https://facebook.com/142162245821280_10205027416987186
43,9259,Berghain Music,2014-03-17,zenker brothers,https://facebook.com/142162245821280_680116368696530
43,9936,Berghain Music,2013-11-18,Ben Klock,https://facebook.com/142162245821280_10202392178307866
43,10115,Berghain Music,2013-10-21,Boris,https://facebook.com/142162245821280_10201304154100552
43,10164,Berghain Music,2013-10-14,"Sandrien 

http://www.youtube.com/watch?v=siCItdnj_6E&feature=share&list=FLZ4MmH-N77sJ2WUBEXK11Ug",https://facebook.com/142162245821280_10201259435902625
43,10212,Berghain Music,2013-09-30,Ben klock,https://facebook.com/142162245821280_10153286493835261
44,47,Berghain Music,2017-08-06,Subjected,https://facebook.com/142162245821280_1411936795510479
44,1499,Berghain Music,2017-02-13,Shifted !,https://facebook.com/142162245821280_1449445651746083
44,2659,Berghain Music,2016-09-25,Subjected,https://facebook.com/142162245821280_1204080506329132
44,4603,Berghain Music,2016-02-08,DJ Nobu,https://facebook.com/142162245821280_10153347639741630
44,5028,Berghain Music,2015-12-21,Subjected,https://facebook.com/142162245821280_10208011070905279
44,6507,Berghain Music,2015-06-03,Shifted,https://facebook.com/142162245821280_817337968373930
44,8359,Berghain Music,2014-08-26,oliver d,https://facebook.com/142162245821280_10154562636255451
44,8545,Berghain Music,2014-08-03,Shifted himself,https://facebook.com/142162245821280_10152276902006630
44,10331,Berghain Music,2013-09-16,Shifted,https://facebook.com/142162245821280_10153268315245451
44,11639,Berghain Music,2012-09-30,Psyk,https://facebook.com/142162245821280_362375957179828
45,48,Berghain Music,2017-08-06,Subjected,https://facebook.com/142162245821280_1411957802175045
46,49,Berghain Music,2017-08-06,Giorgio Gigli,https://facebook.com/142162245821280_1411796985524460
46,1078,Berghain Music,2017-04-02,Stephanie Sykes,https://facebook.com/142162245821280_1231987183585773
49,52,Berghain Music,2017-08-02,Rubinstein,https://facebook.com/142162245821280_1407914395912719
49,859,Berghain Music,2017-04-24,Dr. Rubinstein <3,https://facebook.com/142162245821280_823474361137337
49,2623,Berghain Music,2016-09-26,Dr Rubinstein!! 🙏🏻,https://facebook.com/142162245821280_796648427142842
51,54,Berghain Music,2017-07-31,Dr. Rubinstein,https://facebook.com/142162245821280_1406551826048976
51,858,Berghain Music,2017-04-24,Dr. Rubinstein,https://facebook.com/142162245821280_823474504470656
51,1411,Berghain Music,2017-02-20,Partok,https://facebook.com/142162245821280_786400934844680
51,1486,Berghain Music,2017-02-13,Dr. Rubinstein <3 <3 <3 <3 <3,https://facebook.com/142162245821280_782215281929912
53,56,Berghain Music,2017-07-31,Dr. Rubinstein~ 4:30am,https://facebook.com/142162245821280_1406434812727344
53,4557,Berghain Music,2016-02-15,Dr. Rubinstein,https://facebook.com/142162245821280_602787543206021
53,4886,Berghain Music,2016-01-04,Ben Klock,https://facebook.com/142162245821280_586981918119917
53,5060,Berghain Music,2015-12-21,Rodhad,https://facebook.com/142162245821280_10153263530826630
53,7343,Berghain Music,2015-02-09,"https://www.youtube.com/watch?v=2oRYZnWq_nc&list=PLsia-nuZWO38SO_5_IqydobbaXlZjZMFm&index=6

>heiko laux",https://facebook.com/142162245821280_882596601790711
53,7731,Berghain Music,2014-12-15,Dettmann&Klock monday about 2 pm ;),https://facebook.com/142162245821280_10205281346983887
53,8753,Berghain Music,2014-06-23,Dettmann,https://facebook.com/142162245821280_10152495058347988
53,9117,Berghain Music,2014-04-14,Dettmann. Enjoy :),https://facebook.com/142162245821280_10203461263802945
53,9312,Berghain Music,2014-03-10,dettmann second round,https://facebook.com/142162245821280_10201870833074331
53,9400,Berghain Music,2014-03-03,RØDHÅD,https://facebook.com/142162245821280_10152257908769222
53,9478,Berghain Music,2014-02-17,Dettmann,https://facebook.com/142162245821280_669185426479254
53,9610,Berghain Music,2014-01-27,Heiko Laux!,https://facebook.com/142162245821280_10152171871062766
54,57,Berghain Music,2017-07-31,Dr. Rubinstein @ 5am 😍,https://facebook.com/142162245821280_1406421642728661
55,58,Berghain Music,2017-07-31,Dr. Rubinstein @ 5am!,https://facebook.com/142162245821280_1406429496061209
56,59,Berghain Music,2017-07-31,Dr Rubinstein <3,https://facebook.com/142162245821280_1406385916065567
56,428,Berghain Music,2017-06-18,Marcel Dettmann,https://facebook.com/142162245821280_1362823100421849
56,846,Berghain Music,2017-04-24,Dr. Rubinstein first track💊💊💊,https://facebook.com/142162245821280_823483844469722
57,60,Berghain Music,2017-07-31,Dr. Rubinstein,https://facebook.com/142162245821280_1406362659401226
57,2465,Berghain Music,2016-10-23,Regal ca. 13.00 :),https://facebook.com/142162245821280_1321814011203579
58,61,Berghain Music,2017-07-31,Dr. Rubinstein,https://facebook.com/142162245821280_1406275579409934
58,2542,Berghain Music,2016-10-08,Pär Grindvik,https://facebook.com/142162245821280_1333333056677416
58,3456,Berghain Music,2016-06-26,October,https://facebook.com/142162245821280_10210289784104989
58,5102,Berghain Music,2015-12-14,ACR UND KOBOSIL,https://facebook.com/142162245821280_1121828667827857
58,5651,Berghain Music,2015-09-29,ROD ? <3,https://facebook.com/142162245821280_527291330756726
58,5887,Berghain Music,2015-08-26,"FJAAK
Pretty sure they played this one :)",https://facebook.com/142162245821280_10205728164698220
58,5935,Berghain Music,2015-08-18,Ben & Marcel,https://facebook.com/142162245821280_10207817649708738
58,5970,Berghain Music,2015-08-17,"personal highlight, aforementioned Klock and Dettmann",https://facebook.com/142162245821280_10155967786480370
58,6705,Berghain Music,2015-05-11,Silent servant? Anthony parasole? Ick wees it nüsch mehr.,https://facebook.com/142162245821280_1005342766143115
58,8520,Berghain Music,2014-08-04,Substance aka DJ Pete,https://facebook.com/142162245821280_743421292382004
58,21465,Panorama Bar Music,2012-01-23,Move D,https://facebook.com/247952204861_354474454580484
62,65,Berghain Music,2017-07-31,Dr. Rubinstein,https://facebook.com/142162245821280_1406067366097422
62,1378,Berghain Music,2017-02-22,Matrixxman,https://facebook.com/142162245821280_787585418059565
62,1446,Berghain Music,2017-02-19,Matrixxman.,https://facebook.com/142162245821280_1189207691197056
62,1476,Berghain Music,2017-02-14,Dr. Rubinstein,https://facebook.com/142162245821280_782742845210489
62,2288,Berghain Music,2016-11-07,Dr. Rubinstein at Snax !,https://facebook.com/142162245821280_726395100845264
62,2384,Berghain Music,2016-10-24,Matrixxman <3 <3 <3,https://facebook.com/142162245821280_717994275018680
62,2971,Berghain Music,2016-08-22,Milton Bradley <3,https://facebook.com/142162245821280_685031724981602
62,3202,Berghain Music,2016-07-25,Dr. Rubinstein <3,https://facebook.com/142162245821280_671445639673544
62,3312,Berghain Music,2016-07-12,JP Enfant first play in Berghain :),https://facebook.com/142162245821280_665286193622822
63,66,Berghain Music,2017-07-31,Dr. Rubinstein <3 burning the floor <3,https://facebook.com/142162245821280_1406068446097314
63,1554,Berghain Music,2017-02-05,Len faki ⚡last Song,https://facebook.com/142162245821280_10209853227059820
63,1557,Berghain Music,2017-02-05,"Len faki ⚡
last track",https://facebook.com/142162245821280_10209853147497831
65,68,Berghain Music,2017-07-31,Dr. Rubinstein,https://facebook.com/142162245821280_1406067042764121
65,85,Berghain Music,2017-07-31,rubinsteino so um 7,https://facebook.com/142162245821280_1405869469450545
