track_artist,track_title,count,post_count,first_seen,last_seen,source_url
Radio Slave,Bell Clap Dance,2,2,2012-10-15,2014-11-17,https://youtube.com/watch?v=K_tcLvlvDuo&spfreload=10
Fred P,Come This Far (Fred P Reshape),2,2,2011-07-16,2014-11-17,https://youtube.com/watch?v=q7Kds7vg6-I
Petra & Co.,Just Let Go (Dub Version),1,1,2014-11-13,2014-11-13,https://youtube.com/watch?v=V8Ay25BIHw4
,YELLO ❤ bostich❤ lyrics on screen HD❤,1,1,2014-11-13,2014-11-13,https://youtube.com/watch?v=kSnXzq-UGoQ
Jimmy Bo Horne,Spank (12 Disco Version) 1979,2,2,2011-03-28,2014-11-11,https://youtube.com/watch?v=aKXa8cc96LU
Omar S Feat LRenee,SEX (CGP (Conant Gardens Posse Remix),1,1,2014-11-10,2014-11-10,http://youtube.com/watch?v=_IGmJO4ABuk
,Dj Qu- Undescribed1 (Multi),1,1,2014-11-10,2014-11-10,http://youtu.be/1ChrpOBuQpc
,Crash Course in Science Cardboard Lamb the music video HD Version,1,1,2014-11-10,2014-11-10,https://youtube.com/watch?v=dG_9Vuu-egs#t=66
Ricardo Villalobos,Hansup,2,2,2013-01-05,2014-11-07,https://youtube.com/watch?v=45N_KDlW1gs
Candi Staton,Do your Duty (Pepe Bradock remix excerpt),3,3,2014-01-03,2014-11-05,http://youtu.be/s04IMzv9XIs
Chaka Khan,Clouds,1,1,2014-11-03,2014-11-03,https://youtube.com/watch?v=xADrCKYUEcc
,Jeff Mills (Millsart)- Pacific State of Mind,1,1,2014-11-03,2014-11-03,http://youtu.be/V8r_b0Q_VKc
Dee Dee Brave,There Is So Much (Kaos 6:23 Remix),1,1,2014-11-03,2014-11-03,http://youtu.be/5F9Q69UDNMk
Daniel Avery,All I Need (Roman Flügel Remix) [PH40],3,3,2014-10-12,2014-11-03,https://youtube.com/watch?v=rSIX4kXq2nM
Severed Heads,Dead Eyes Opened (1984) HQ,3,3,2012-10-31,2014-11-01,https://youtube.com/watch?v=ln2ItXdayOY
Exposé,"Exposed to Love (12"" Extended Vocal)",1,1,2014-11-01,2014-11-01,http://youtube.com/watch?v=hROD2rXOCYc
