track_no,content_id,artist,title,label,genre,bpm,key
147,210793784,A1 Blind Box,Would VINYL ONLY ,Blind Box Series,Minimal,127.0,Dm
148,248611744,Isaac Carter,Natural High (Original Mix),On Loop,House,128.0,Abm
149,129658932,Burnski,Get Up (Original Mix) ,Constant Sound,Tech House,128.0,Gm
150,85051531,Kristin Velvet,Rhyme by Rhyme (Original Mix) ,Arms & Legs,House,127.0,Cm
151,267071094,A1 Hakan Lidbo,Sinful Sadie (Eddie Richards Unreleased Remix) VINYL ONLY ,Repeat,Deep House,125.99,E
152,243704165,Fleur Shore,Move Those Feet (Inland Knights Remix),Undergrowth,House,125.0,Em
153,175602117,iO (Mulen),Bass Control (Dachshund Remix),Artreform,Tech House,123.0,Fm
154,46569641,Mandar,A1 Straight Sneaky VINYL ONLY ,Yoyaku,Techno (Peak Time / Driving / Hard),135.0,F#m
155,204627954,"Asadinho, Effluence","Turn, Turn, Turn (Original Mix)",Fabric,Tech House,120.0,Dm
156,237420944,Just Be,My New Girlfriend (Original Mix),Fabric,Tech House,120.0,Gm
157,257027373,Bravofox,Bludine Paler (Original Mix),Fabric,Tech House,124.0,Ebm
158,211480885,Pure Science,Don't Hold Back (Original Mix),Fabric,Tech House,124.0,Ab
159,244702749,Lo,Waste Of Space (Original Mix),Fabric,Tech House,123.0,Am
160,178559371,"Terry Francis, Nathan Coles, Eddie Richards",Wiggle for 20 Years (Continuous DJ Mix),Fabric,Tech House,124.99,Am
161,135274196,Todd Bodine,Symphony Of Truth Project (Original Mix),Fabric,Tech House,124.0,F
162,114665239,"Dan Berkson, James What",Psychedelic Underground (RM Mix),Fabric,Tech House,125.0,Ebm
163,58834950,Dub Taylor,Chasing Jean-Claude (Original Mix),Fabric,Tech House,123.0,Am
164,82127929,Dachshund,Quiproquo (Original Mix),Fabric,Tech House,125.0,Gm
165,68125180,Saytek,Two Words (Original Mix),Fabric,Tech House,122.0,Am
166,223459100,James Kameran,Ai Weiwei (Original Mix),Fabric,Tech House,124.0,Cm
167,21695747,Philipp Ort,Like That (Original Mix),Fabric,Tech House,123.0,Dm
168,26872923,DZNB,Adult Friend Finder (Original Mix),Fabric,Tech House,122.0,Am
169,92220724,Corrie,Doing My Dance (Original Mix),Fabric,Tech House,125.0,F#m
170,261062262,Lorenzo Blender,Subboom (Original Mix),Fabric,Tech House,122.0,A
171,260097037,"Jay Tripwire, Joeski",Entranced (Original Mix),Fabric,Tech House,123.0,Dm
172,53018821,"Alex Arnout, Tempo O'neil",Several Ways (Original Mix),Fabric,Tech House,121.0,Gm
173,253641337,Kenny Raw,Distorted Reality (Darren Roach Remix),Fabric,Tech House,124.0,F
174,82007616,Emiliano Martini,Rue Du Temps (Original Mix),Rawax,Tech House,124.0,Am
175,240413625,Alexander Koning,Deet Roid (David Alvarado Remix),Percep-tion,Techno,124.0,Abm
176,118655110,Diego Krause,B1 Cascades VINYL ONLY ,Rawax records,Tech House,126.0,F#m
177,57084645,And.Id,Erotica (Subb-An Terrace Remix),Mobilee,Tech House,125.0,E
178,60228256,The Maersk Project,Correct Choice (Original Mix),Konform,Minimal  Deep Tech,125.0,Ebm
179,121298008,"Milion, D Stone",Floor Call (Original Mix),803 Crystal Grooves Collective Cuts,House,130.0,Gm
180,224982804,"Sem Jacobs, Tagmann",DC Ten Thousand Dreams (Extended Mix),FUNKiMAN,Tech House,128.0,Am
181,130360366,Fabio Monesi,Last Friday (Original Mix),Creme Organization,House,124.0,Em
